avg_reward,gamma,epsilon_decay,iters
0.13,0.99,0.3,100000
0.12,0.5,0.99,50000
0.11,0.7,0.99,100000
0.09,0.99,0.7,50000
0.09,0.1,0.1,50000
0.08,0.9,0.5,100000
0.08,0.9,0.3,100000
0.07,0.1,0.3,50000
0.07,0.5,0.9,10000
0.06,0.3,0.7,100000
0.06,0.5,0.7,50000
0.06,0.99,0.9,50000
0.05,0.99,0.99,10000
0.05,0.7,0.5,100000
0.04,0.99,0.9,10000
0.04,0.99,0.5,50000
0.04,0.5,0.1,10000
0.04,0.7,0.7,50000
0.03,0.1,0.9,50000
0.02,0.3,0.99,10000
0.02,0.99,0.99,50000
0.01,0.7,0.9,50000
0.01,0.99,0.1,10000
0.01,0.3,0.7,50000
0.01,0.5,0.7,100000
0.0,0.1,0.5,100000
-0.01,0.3,0.99,100000
-0.01,0.9,0.1,100000
-0.01,0.7,0.3,10000
-0.01,0.7,0.1,100000
-0.01,0.3,0.1,50000
-0.02,0.5,0.9,50000
-0.02,0.9,0.9,100000
-0.02,0.5,0.1,100000
-0.02,0.7,0.7,10000
-0.02,0.99,0.99,100000
-0.02,0.3,0.1,100000
-0.02,0.99,0.7,100000
-0.02,0.99,0.3,10000
-0.02,0.99,0.9,100000
-0.03,0.1,0.5,10000
-0.03,0.9,0.7,100000
-0.04,0.5,0.3,100000
-0.04,0.9,0.1,10000
-0.05,0.9,0.5,50000
-0.05,0.1,0.7,100000
-0.05,0.1,0.99,10000
-0.06,0.1,0.9,10000
-0.06,0.5,0.99,100000
-0.06,0.3,0.5,50000
-0.06,0.7,0.3,50000
-0.07,0.1,0.7,10000
-0.07,0.3,0.7,10000
-0.07,0.5,0.5,100000
-0.07,0.5,0.5,10000
-0.07,0.1,0.3,10000
-0.08,0.99,0.5,10000
-0.09,0.9,0.1,50000
-0.09,0.1,0.5,50000
-0.09,0.9,0.99,10000
-0.09,0.9,0.3,50000
-0.09,0.5,0.1,50000
-0.09,0.9,0.9,50000
-0.09,0.99,0.1,100000
-0.1,0.3,0.3,100000
-0.1,0.99,0.1,50000
-0.1,0.7,0.99,10000
-0.11,0.1,0.1,10000
-0.11,0.7,0.1,10000
-0.11,0.7,0.7,100000
-0.11,0.3,0.99,50000
-0.12,0.5,0.9,100000
-0.12,0.99,0.5,100000
-0.12,0.99,0.3,50000
-0.12,0.3,0.9,10000
-0.12,0.7,0.9,10000
-0.13,0.3,0.1,10000
-0.13,0.3,0.3,50000
-0.13,0.7,0.9,100000
-0.13,0.9,0.5,10000
-0.13,0.7,0.99,50000
-0.14,0.5,0.7,10000
-0.14,0.1,0.9,100000
-0.14,0.3,0.3,10000
-0.14,0.3,0.5,100000
-0.15,0.7,0.5,10000
-0.15,0.3,0.5,10000
-0.15,0.1,0.1,100000
-0.15,0.7,0.1,50000
-0.15,0.1,0.3,100000
-0.15,0.1,0.99,100000
-0.16,0.9,0.3,10000
-0.17,0.1,0.7,50000
-0.18,0.99,0.7,10000
-0.18,0.5,0.3,10000
-0.18,0.9,0.99,50000
-0.19,0.9,0.9,10000
-0.19,0.9,0.7,50000
-0.19,0.3,0.9,50000
-0.19,0.1,0.99,50000
-0.19,0.5,0.3,50000
-0.21,0.3,0.9,100000
-0.22,0.7,0.3,100000
-0.24,0.9,0.7,10000
-0.27,0.5,0.5,50000
-0.28,0.7,0.5,50000
-0.28,0.5,0.99,10000
-0.37,0.9,0.99,100000
