avg_reward,gamma,epsilon_decay,iters
0.18,0.9,0.3,100000
0.15,0.99,0.3,100000
0.11,0.7,0.1,100000
0.1,0.99,0.99,100000
0.07,0.7,0.3,100000
0.07,0.9,0.9,100000
0.06,0.7,0.5,100000
0.06,0.7,0.7,100000
0.05,0.1,0.5,100000
0.04,0.99,0.9,100000
0.04,0.3,0.5,100000
0.04,0.3,0.9,100000
0.04,0.99,0.1,100000
0.02,0.99,0.7,100000
0.02,0.1,0.7,100000
0.02,0.5,0.9,100000
0.01,0.9,0.99,100000
0.01,0.7,0.99,100000
0.0,0.99,0.5,100000
0.0,0.1,0.1,100000
-0.01,0.5,0.3,100000
-0.03,0.9,0.1,100000
-0.03,0.5,0.5,100000
-0.04,0.1,0.99,100000
-0.04,0.7,0.9,100000
-0.06,0.9,0.7,100000
-0.07,0.3,0.7,100000
-0.1,0.5,0.99,100000
-0.1,0.5,0.1,100000
-0.1,0.3,0.3,100000
-0.11,0.3,0.99,100000
-0.12,0.5,0.7,100000
-0.14,0.1,0.3,100000
-0.14,0.1,0.9,100000
-0.15,0.9,0.5,100000
-0.22,0.3,0.1,100000
